"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
74.5,-0.0867461792920448,-inf
74.6,-0.112046983764176,-inf
74.7,-0.148811161357424,-inf
74.8,-0.203568632817399,-inf
74.9,-0.28607822519377,-inf
75,-0.407049792335169,-inf
75.1,-0.562372632191422,-inf
75.2,-0.697495486659556,-inf
75.3,-0.712283265684078,-inf
75.4,-0.598626544195827,-inf
75.5,-0.451994634782983,-inf
75.6,-0.332768199217578,-inf
75.7,-0.24875991475424,-inf
75.8,-0.191393749808232,-inf
75.9,-0.151854594928046,-inf
76,-0.123981707178445,-inf
76.1,-0.103829665415426,-inf
76.2,-0.0889037765889051,-inf
76.3,-0.0776072023379628,-inf
76.4,-0.0688965305745719,-inf
76.5,-0.0620745052597517,-inf
76.6,-0.0566651048158228,-inf
76.7,-0.0523371292407533,-inf
76.8,-0.0488565558881384,-inf
76.9,-0.0460562601549916,-inf
77,-0.0438164642238871,-inf
77.1,-0.0420520032655496,-inf
77.2,-0.0407040844114383,-inf
77.3,-0.0397351667304539,-inf
77.4,-0.0391261981158821,-inf
77.5,-0.0388758799209679,-inf
77.6,-0.0390020128044131,-inf
77.7,-0.0395454215009028,-inf
77.8,-0.0405776198939939,-inf
77.9,-0.0422145484820477,-inf
78,-0.0446410019233225,-inf
78.1,-0.0481551660586903,-inf
78.2,-0.053253469835248,-inf
78.3,-0.0608019407265365,-inf
78.4,-0.0724077518191024,-inf
78.5,-0.0912938935466822,-inf
78.6,-0.124537570021549,-inf
78.7,-0.18897173397782,-inf
78.8,-0.320843041048425,-inf
78.9,-0.49830960574379,-inf
79,-0.394553626634717,-inf
79.1,-0.192340281023439,-inf
79.2,-0.0978524638723392,-inf
79.3,-0.0576179908234165,-inf
79.4,-0.0386186897524796,-inf
79.5,-0.0286985677343818,-inf
79.6,-0.0231326405170111,-inf
79.7,-0.0198918069120018,-inf
79.8,-0.0180477791421038,-inf
79.9,-0.0172109862104191,-inf
80,-0.0173979347061123,-inf
80.1,-0.019365572487602,-inf
80.2,-0.027172122868433,-inf
80.3,-0.0862010059301887,-inf
80.4,-0.478752763347747,-inf
80.5,-0.0366656686940259,-inf
80.6,-0.019430111886514,-inf
80.7,-0.0153920801542693,-inf
80.8,-0.0138621225386171,-inf
80.9,-0.0131416910113602,-inf
81,-0.012765427113517,-inf
81.1,-0.0125636726689866,-inf
81.2,-0.012462311958029,-inf
81.3,-0.0124246225837615,-inf
81.4,-0.0124306481783579,-inf
81.5,-0.0124687666208634,-inf
81.6,-0.0125318600287468,-inf
81.7,-0.0126154324844767,-inf
81.8,-0.0127166332655065,-inf
81.9,-0.0128337371703576,-inf
82,-0.0129658746302609,-inf
82.1,-0.0131129104161487,-inf
82.2,-0.0132754198360857,-inf
82.3,-0.0134547365441794,-inf
82.4,-0.0136530596318536,-inf
82.5,-0.013873615523829,-inf
82.6,-0.0138786085920802,-inf
82.7,-0.0139972292857178,-inf
82.8,-0.0142166101722558,-inf
82.9,-0.0145249830470376,-inf
83,-0.0149119704777654,-inf
83.1,-0.0153689052704683,-inf
83.2,-0.0158891901334283,-inf
83.3,-0.0164687150855427,-inf
83.4,-0.0171063578665818,-inf
83.5,-0.0178046041784902,-inf
83.6,-0.018570342348009,-inf
83.7,-0.0194159149624002,-inf
83.8,-0.0203605552413322,-inf
83.9,-0.0214324112349224,-inf
84,-0.0226714907537444,-inf
84.1,-0.024134092625546,-inf
84.2,-0.0258997267826487,-inf
84.3,-0.0280823930693677,-inf
84.4,-0.0308499327311125,-inf
84.5,-0.0344594389677162,-inf
84.6,-0.0393277714003078,-inf
84.7,-0.0461893902574028,-inf
84.8,-0.0565158141775042,-inf
84.9,-0.0739785163745879,-inf
85,-0.112593173016737,-inf
85.1,-0.239660016944306,-inf
85.2,-0.0556556220867506,-inf
85.3,-0.094300668106961,-inf
85.4,-0.152686026633173,-inf
85.5,-0.173482610443245,-inf
85.6,-0.113859863604911,-inf
85.7,-0.0515105509399657,-inf
85.8,-0.0257475698240256,-inf
85.9,-0.0165219348622764,-inf
86,-0.0199992438608012,-inf
86.1,-0.0376921646024538,-inf
86.2,-0.074100564396604,-inf
86.3,-0.124928311619066,-inf
86.4,-0.151384871868392,-inf
86.5,-0.135644448758875,-inf
86.6,-0.105733935708623,-inf
86.7,-0.0806090719770763,-inf
86.8,-0.0628796185569754,-inf
86.9,-0.0507257343641369,-inf
87,-0.0422708113976195,-inf
87.1,-0.036222936517864,-inf
87.2,-0.0317578719341551,-inf
87.3,-0.0283525068356398,-inf
87.4,-0.0256714137884151,-inf
87.5,-0.0235025892371061,-inf
87.6,-0.0217385610286854,-inf
87.7,-0.0204553399260256,-inf
87.8,-0.0205438923697697,-inf
87.9,-0.0316778566335448,-inf
88,-0.737166504252493,-inf
88.1,-0.0570179279467043,-inf
88.2,-0.0312203644098851,-inf
88.3,-0.0247198822681257,-inf
88.4,-0.0217196362198409,-inf
